,MD,Hook_load,WOB,RPM,Torque,Intake_pressure,ROP
0,2909.2,104.12,0.0,0.0,0.36,0.0,25.53
1,2909.2,132.5,0.0,0.0,0.0,0.0,25.53
2,2909.2,87.05,0.0,0.0,0.0,0.0,25.53
3,2909.2,154.16,0.0,0.0,0.0,0.0,25.53
4,2909.2,48.97,0.0,0.0,0.0,0.0,25.53
5,2909.2,86.07,0.0,0.0,0.0,0.0,25.53
6,2909.2,137.35,0.0,0.0,0.0,0.0,25.53
7,2909.2,48.86,0.0,0.0,0.0,0.0,25.53
8,2909.2,53.7,0.0,0.0,0.0,0.0,25.53
9,2909.2,59.1,0.0,0.0,0.0,0.0,25.53
10,2909.2,61.56,0.0,0.0,0.0,0.0,25.53
11,2909.2,62.45,0.0,0.0,0.0,0.0,25.53
12,2909.2,62.79,0.0,0.0,0.0,0.0,25.53
13,2909.2,62.77,0.0,0.0,0.0,0.0,25.53
14,2909.2,62.74,0.0,0.0,0.0,0.0,25.53
15,2909.2,62.45,0.0,0.0,0.0,30.56,25.53
16,2909.2,61.27,0.0,0.0,0.0,74.76,25.53
17,2909.2,59.94,0.0,0.0,0.0,93.5,25.53
18,2909.2,59.21,0.0,0.0,0.0,102.84,25.53
19,2909.2,58.74,0.0,0.0,0.0,107.5,25.53
20,2909.2,58.84,0.0,0.0,0.0,109.51,25.53
21,2909.2,58.57,0.0,0.0,0.0,110.3,25.53
22,2909.2,58.51,0.0,0.0,0.0,110.65,25.53
23,2909.2,58.55,0.0,0.0,0.0,110.77,25.53
24,2909.2,58.5,0.0,0.0,0.0,110.82,25.53
25,2909.2,58.61,0.0,0.0,0.0,110.77,25.53
26,2909.2,58.69,0.0,0.0,0.0,110.86,25.53
27,2909.2,58.73,0.0,0.0,0.0,110.75,25.53
28,2909.2,58.78,0.0,0.0,0.0,110.66,25.53
29,2909.2,58.94,0.0,0.0,0.0,110.48,25.53
30,2909.2,59.08,0.0,0.0,0.0,110.49,25.53
31,2909.2,59.04,0.0,0.0,0.0,110.45,25.53
32,2909.2,58.86,0.0,0.0,0.0,110.43,25.53
33,2909.2,58.97,0.0,0.0,0.0,110.39,25.53
34,2909.2,59.02,0.0,0.0,0.0,110.49,25.53
35,2909.2,59.11,0.0,0.0,0.0,110.32,25.53
36,2909.2,59.09,0.0,0.0,0.0,110.19,25.53
37,2909.2,59.05,0.0,0.0,0.0,110.28,25.53
38,2909.2,59.16,0.0,0.0,0.0,110.26,25.53
39,2909.2,59.21,0.0,0.0,0.0,110.18,25.53
40,2909.2,59.22,0.0,0.0,0.0,110.08,25.53
